epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
184,2025-03-12 21:36:52,-9025.80678013393,-9752.265542935924,-9214.96737132353,-8339.091550682773
185,2025-03-12 21:39:00,-9108.2367630646,-9841.595358455883,-9298.883862920167,-8415.231699711134
186,2025-03-12 21:41:08,-9193.662843848477,-9933.655010832457,-9386.258780856093,-8494.22101907169
187,2025-03-12 21:43:16,-9275.646205357143,-10022.633042279413,-9469.56940158876,-8569.962866005777
188,2025-03-12 21:45:25,-9354.873412060137,-10108.27687598477,-9550.441434972427,-8643.144026555934
189,2025-03-12 21:47:33,-9428.99358669249,-10188.594037224264,-9625.82366481749,-8711.669733127626
190,2025-03-12 21:49:40,-9509.459226464023,-10275.370576746323,-9708.068449645483,-8786.067940848214
191,2025-03-12 21:51:48,-9601.29181985294,-10375.049911370797,-9801.551536239496,-8870.777622767857
192,2025-03-12 21:53:56,-9678.974855567227,-10459.101882549894,-9880.757558101366,-8942.541897813813
193,2025-03-12 21:56:03,-9761.206571691177,-10548.020622702206,-9964.511571034664,-9018.616695115546
194,2025-03-12 21:58:11,-9847.059307707457,-10640.826869419643,-10052.117671678046,-9097.939120765493
195,2025-03-12 22:00:20,-9927.89211035977,-10728.2739791229,-10134.44713432248,-9172.688624277836
196,2025-03-12 22:02:28,-10014.854771205357,-10822.3046875,-10223.20288701418,-9253.005494189863
197,2025-03-12 22:04:37,-10105.99231880252,-10920.88560267857,-10316.121840533087,-9337.224441143644
198,2025-03-12 22:06:46,-10191.948471966913,-11013.981396074054,-10403.68244485294,-9416.622382155987
199,2025-03-12 22:08:54,-10287.99952402836,-11117.716074711134,-10501.70821297269,-9505.42964236476
200,2025-03-12 22:11:03,-10363.962061777836,-11200.133042279413,-10579.07202763918,-9575.50050059086
201,2025-03-12 22:13:11,-10434.499778426996,-11276.365513392857,-10650.91076352416,-9640.79126592043
201,2025-03-13 00:07:11,-10442.123678768383,-11284.74531414128,-10658.602145154937,-9647.79772025998
202,2025-03-13 00:09:20,-10527.868623621323,-11377.24996717437,-10746.198061646533,-9727.084768086923
203,2025-03-13 00:11:27,-10612.44588694853,-11468.807674632353,-10832.32657398897,-9805.2632369354
204,2025-03-13 00:13:35,-10697.19103696166,-11560.73743599002,-10918.626928505777,-9883.45329733456
205,2025-03-13 00:16:20,-10787.823833048844,-11658.934857536764,-11010.945796678046,-9967.148174894957
206,2025-03-13 00:18:28,-10871.479746586134,-11749.153139771533,-11096.354713760504,-10044.56765362395
207,2025-03-13 00:20:36,-10958.52451253939,-11843.379669445903,-11185.064026391807,-10124.977612920167
208,2025-03-13 00:22:44,-11052.135594472164,-11944.68769695378,-11280.384338891807,-10211.534130449054
209,2025-03-13 00:24:51,-11137.301774225316,-12036.528779871323,-11367.466099330357,-10290.257328321954
210,2025-03-13 00:26:59,-11236.959780396533,-12144.756474855567,-11468.811367515757,-10382.222598805147
211,2025-03-13 00:29:07,-11318.651088169643,-12233.080808495273,-11552.166466977416,-10457.69147190126
212,2025-03-13 00:31:14,-11405.276547728467,-12326.772132681197,-11640.466813287816,-10537.76121815914
213,2025-03-13 00:33:21,-11493.280027245273,-12421.793190323004,-11730.191332392333,-10619.210912880777
214,2025-03-13 00:35:29,-11579.274422268907,-12514.821510635504,-11817.967043067227,-10698.59378282563
